CEMETERY|SITECODE|PERIOD|LU_INT|E_DATE|L_DATE|CONTEXT|SEX|AGE|PATH_GROUP|DISEASE|PATHOLOGY|COMMENTS|PBR
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10650|FEMALE|ADULT 26-35 YEARS|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10650|FEMALE|ADULT 26-35 YEARS|Congenital|Miscellaneous|Spondylolysis (bilateral)|Neural arch of L5 is missing.  Not fractured post-mortem.|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10652|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10652|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10656|FEMALE|ADULT >46 YEARS|Joints|Osteoarthritis|Osteoarthritis|There is osteophytic lipping on the left talus.  It is located on the lateral margin of the facet that ariculates with the talus and around the margin of the facet that articulates with the lateral cuneiform.   The facet that articulates with the talus also shows small amounts of eburnation laterally which is mirrored on the corresponding surface of the left talus.|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10656|FEMALE|ADULT >46 YEARS|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10656|FEMALE|ADULT >46 YEARS|Other|Blood Disorders|Cribra orbitalia right|0 (No cribra present)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10660|UNDETERMINABLE|UNCLASSIFIED ADULT|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10660|UNDETERMINABLE|UNCLASSIFIED ADULT|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10661|UNDETERMINABLE|UNCLASSIFIED ADULT|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10661|UNDETERMINABLE|UNCLASSIFIED ADULT|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10666|UNDETERMINABLE|UNCLASSIFIED ADULT|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10666|UNDETERMINABLE|UNCLASSIFIED ADULT|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|13|OA219|1270|1350|10682|MALE?|ADULT 18-25 YEARS|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|13|OA219|1270|1350|10682|MALE?|ADULT 18-25 YEARS|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10688|INTERMEDIATE|ADULT 26-35 YEARS|Other|Blood Disorders|Cribra orbitalia left|2 (Scattered fine foramina)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10688|INTERMEDIATE|ADULT 26-35 YEARS|Other|Blood Disorders|Cribra orbitalia right|3 (Large and small isolated foramina)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10689|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Other|Blood Disorders|Cribra orbitalia left|0 (No cribra present)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10689|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Other|Blood Disorders|Cribra orbitalia right|0 (No cribra present)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10690|MALE|ADULT 18-25 YEARS|Infectious|Non-Specific Infection|Non-specific periostitis|The proximal two thirds of the right femur is covered in a plaque like bone deposit.  The lateral portion of the shaft is more affected. It is striated and porous.  The reaction was ongoing at the time of death.|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10690|MALE|ADULT 18-25 YEARS|Trauma|Accidental|Avulsion injury|The distal epiphysis of the right humerous is evulsed.  The capitulum is pulled from the lateral condyle.  The supracondyle has a plague like development of new bone on the anterior surface.  It is well remodelled.  There is a deposit of new bone in the right lunar notch.  The bone is porous but well remodelled.|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10690|MALE|ADULT 18-25 YEARS|Other|Blood Disorders|Cribra orbitalia left|0 (No cribra present)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10690|MALE|ADULT 18-25 YEARS|Other|Blood Disorders|Cribra orbitalia right|0 (No cribra present)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10695|FEMALE?|ADULT 36-45 YEARS|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10695|FEMALE?|ADULT 36-45 YEARS|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10696|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10696|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10699|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Other|Blood Disorders|Cribra orbitalia left|2 (Scattered fine foramina)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10699|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10705|FEMALE|ADULT 26-35 YEARS|Other|Blood Disorders|Cribra orbitalia left|0 (No cribra present)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10705|FEMALE|ADULT 26-35 YEARS|Other|Blood Disorders|Cribra orbitalia right|0 (No cribra present)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10723|MALE?|ADULT 36-45 YEARS|Congenital|Miscellaneous|Other (Miscellaneous)|THERE IS A LINEAR INDENTATION ON THE RIGHT SCAPHOID ON THE SURFACE THAT ARTICULATES WITH THE CAPITATE.  IT APPEARS TO BE A DEVELOPMENTAL DEFECT CAUSED BY TWO CENTRES OF OSSIFICATION THAT HAVE NOT FUSED (OSSCAPHOIDEUM BIPARTITUM).|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10723|MALE?|ADULT 36-45 YEARS|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10723|MALE?|ADULT 36-45 YEARS|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10724|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10724|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10731|FEMALE|ADULT >46 YEARS|Infectious|Non-Specific Infection|Other (Infectious - Non-specific infection)|The anterior centra of the sacrum have ongoing reactive new bone growth.  Located mainly on the right lateral portion of the centra of S1-3.  Possibly a soft tissue infection.|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10731|FEMALE|ADULT >46 YEARS|Other|Blood Disorders|Cribra orbitalia left|0 (No cribra present)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10731|FEMALE|ADULT >46 YEARS|Other|Blood Disorders|Cribra orbitalia right|0 (No cribra present)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10734|MALE|ADULT 36-45 YEARS|Infectious|Non-Specific Infection|Non-specific periostitis|There is new bone growth on the proximal anterior medial surface of the right tibial shaft.  The area is porous but well remodelled.|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10734|MALE|ADULT 36-45 YEARS|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10734|MALE|ADULT 36-45 YEARS|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10739|MALE?|ADULT 36-45 YEARS|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10739|MALE?|ADULT 36-45 YEARS|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10756|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10756|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10770|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Other|Blood Disorders|Cribra orbitalia left|0 (No cribra present)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10770|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Other|Blood Disorders|Cribra orbitalia right|0 (No cribra present)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10774|MALE|ADULT 36-45 YEARS|Other|Blood Disorders|Cribra orbitalia left|2 (Scattered fine foramina)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10774|MALE|ADULT 36-45 YEARS|Other|Blood Disorders|Cribra orbitalia right|1 (Capillary like impressions on the bone)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10786|FEMALE|ADULT 36-45 YEARS|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10786|FEMALE|ADULT 36-45 YEARS|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10792|MALE|ADULT 26-35 YEARS|Other|Blood Disorders|Cribra orbitalia left|0 (No cribra present)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10792|MALE|ADULT 26-35 YEARS|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10792|MALE|ADULT 26-35 YEARS|Congenital|Miscellaneous|Spondylolysis (bilateral)|The inferior epophyseal joints of L5 are missing.|
Medieval-Guildhall Yard|GYE92|11|OA132|1140|1230|10856|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA132|1140|1230|10856|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10862|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Other|Blood Disorders|Cribra orbitalia left|1 (Capillary like impressions on the bone)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10862|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Other|Blood Disorders|Cribra orbitalia right|1 (Capillary like impressions on the bone)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10890|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10890|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10891|MALE?|ADULT 18-25 YEARS|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10891|MALE?|ADULT 18-25 YEARS|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10894|FEMALE|ADULT 26-35 YEARS|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10894|FEMALE|ADULT 26-35 YEARS|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10894|FEMALE|ADULT 26-35 YEARS|Congenital|Miscellaneous|Spondylolysis (bilateral)|The inferior portion of the L5 neural arch is separate and healed from the centrum.  The centrum is absent.|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10912|FEMALE|ADULT 18-25 YEARS|Other|Blood Disorders|Cribra orbitalia left|0 (No cribra present)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10912|FEMALE|ADULT 18-25 YEARS|Other|Blood Disorders|Cribra orbitalia right|0 (No cribra present)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10915|MALE?|ADULT 36-45 YEARS|Congenital|Miscellaneous|Other (Miscellaneous)|THERE IS A CIRCULAR DEFECT ON THE DISTAL SHAFT OF THE LEFT HUMERUS, JUST PROXIMAL OF THE TROCHLEA.  IT IS VERY ROUNDED AND APPEARS DEVELOPMENTAL RATHER THAN A CYST OR ABSESS.|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10915|MALE?|ADULT 36-45 YEARS|Joints|Osteoarthritis|Osteoarthritis|The medial condyle of the right tibia is eburnated.  there is a small amount of lipping dorsally however, much of the proximal tibia is damaged.  There are no subchondral cysts.  The medial condyle of the right femur is also eburnated, with slight lipping.  There are no sub chondral cysts.|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10915|MALE?|ADULT 36-45 YEARS|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10915|MALE?|ADULT 36-45 YEARS|Other|Blood Disorders|Cribra orbitalia right|0 (No cribra present)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10932|UNDETERMINABLE|UNCLASSIFIED ADULT|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10932|UNDETERMINABLE|UNCLASSIFIED ADULT|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10947|UNDETERMINABLE|UNCLASSIFIED ADULT|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10947|UNDETERMINABLE|UNCLASSIFIED ADULT|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10957|MALE?|ADULT 26-35 YEARS|Other|Blood Disorders|Cribra orbitalia left|0 (No cribra present)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10957|MALE?|ADULT 26-35 YEARS|Other|Blood Disorders|Cribra orbitalia right|0 (No cribra present)|
Medieval-Guildhall Yard|GYE92|10|OA127|1050|1140|11692|MALE?|UNCLASSIFIED ADULT|Other|Blood Disorders|Cribra orbitalia left|0 (No cribra present)|
Medieval-Guildhall Yard|GYE92|10|OA127|1050|1140|11692|MALE?|UNCLASSIFIED ADULT|Other|Blood Disorders|Cribra orbitalia right|0 (No cribra present)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13017|FEMALE|ADULT 18-25 YEARS|Infectious|Non-Specific Infection|Other (Infectious - Non-specific infection)|There is ongoing reactive bone development on the anterior centra of the sacrum.  S2 and 3 are particularly affected with areas of porosity and striated bone.  The reaction manifests itself in a thick plaque like deposit and there is no evidence of healing.  Possibly a soft tissue infection.|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13017|FEMALE|ADULT 18-25 YEARS|Other|Blood Disorders|Cribra orbitalia left|0 (No cribra present)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13017|FEMALE|ADULT 18-25 YEARS|Other|Blood Disorders|Cribra orbitalia right|0 (No cribra present)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13042|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13042|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13056|MALE|ADULT 18-25 YEARS|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13056|MALE|ADULT 18-25 YEARS|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13110|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13110|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13209|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13209|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13281|UNDETERMINABLE|ADULT 36-45 YEARS|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13281|UNDETERMINABLE|ADULT 36-45 YEARS|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA132|1140|1230|13287|FEMALE?|ADULT >46 YEARS|Infectious|Non-Specific Infection|Non-specific periostitis|Both fibulae affected.  Most prominent on the right fibula.  The mid-shaft is thickened and the distal shaft is heavily striated and pitted.  There is a patch of well remodelled bone on the proximal shaft.  The left fibula is less affected however, there is porosity down the length of the shaft.  The right tibia is striated down the anterior medial shaft.  There is a swelling in the mid-shaft that is porous but well remodelled.|
Medieval-Guildhall Yard|GYE92|11|OA132|1140|1230|13287|FEMALE?|ADULT >46 YEARS|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA132|1140|1230|13287|FEMALE?|ADULT >46 YEARS|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13316|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13316|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13366|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Other|Blood Disorders|Cribra orbitalia left|1 (Capillary like impressions on the bone)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13366|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Other|Blood Disorders|Cribra orbitalia right|1 (Capillary like impressions on the bone)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13367|FEMALE|ADULT 26-35 YEARS|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|13367|FEMALE|ADULT 26-35 YEARS|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|10|OA108|1050|1140|17166|MALE|ADULT >46 YEARS|Other|Blood Disorders|Cribra orbitalia left|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|10|OA108|1050|1140|17166|MALE|ADULT >46 YEARS|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|10|OA108|1050|1140|17166|MALE|ADULT >46 YEARS|Trauma|Accidental|Healed fracture|A proximal phalanx is fused to an intermediate phalanx.  The proximal phalanx appears shortened and the intermediate phalanx is fused posteriorly and laterally when in correct anatomical position.  The fusion and unusual positioning of the fusion is possibly the result of a fracture.  The area is well healed and each bon is individually well aligned|
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20065|MALE|ADULT 26-35 YEARS|Circulatory|Osteochondroses|Other (Circulatory-Osteochondroses)|There is a joint lesion in the center of the proximal surface of the right first proximal foot phalanx.|
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20065|MALE|ADULT 26-35 YEARS|Infectious|Non-Specific Infection|Non-specific periostitis|The entire shaft of the left femur has bad periostosis.  The area is heavily striated and porous.  There are patches of plaque like bone on the surface particualrly on the distal lateral portion of the shaft.  It was an ongoing reaction at the time of death.  The right femur and tibia are not affected.|
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20065|MALE|ADULT 26-35 YEARS|Other|Blood Disorders|Cribra orbitalia left|0 (No cribra present)|
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20065|MALE|ADULT 26-35 YEARS|Other|Blood Disorders|Cribra orbitalia right|0 (No cribra present)|
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20105|MALE|ADULT 36-45 YEARS|Infectious|Non-Specific Infection|Non-specific periostitis|There is non-specific periostosis on the anterior medial mid-shaft of the both tibiae.  The area is heavily striated.|
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20105|MALE|ADULT 36-45 YEARS|Other|Blood Disorders|Cribra orbitalia left|0 (No cribra present)|
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20105|MALE|ADULT 36-45 YEARS|Other|Blood Disorders|Cribra orbitalia right|9 (Unobservable)|
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20105|MALE|ADULT 36-45 YEARS|Congenital|Miscellaneous|Spondylolysis (bilateral)|Although the centrum is missing the inferior portion of the neural arch of L5 has been separated antemortem.|
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20109|FEMALE|ADULT 26-35 YEARS|Joints|Osteoarthritis|Osteoarthritis|There is subchondral pitting and eburnation to the inferior portion of the distal right first metatarsal.  Eburnation is present on the corresponding surface of the right sesamoid bone.|
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20109|FEMALE|ADULT 26-35 YEARS|Neoplastic|Neoplastic General|Bone cysts|THERE IS A POSSIBLE ABCESS ON THE SUPERIOR PORTION OF THE DORSAL SURFACE OF THE RIGHT PUBIC SYMPYSIS.  THERE IS A RELATIVELY LARGE OVULAR AREA WHICH IS 8.6MM DEEP.  THE DEFECT IS SCOOPED OUT AND NICELY ROUNDED. May also be the result of very pronounced muscle attachments.|
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20109|FEMALE|ADULT 26-35 YEARS|Circulatory|Osteochondroses|Osteochondritis dissicans|Circular defect on the distal right humerus.  It is located between the trochlea and capitulum.|
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20109|FEMALE|ADULT 26-35 YEARS|Other|Blood Disorders|Cribra orbitalia left|0 (No cribra present)|
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20109|FEMALE|ADULT 26-35 YEARS|Other|Blood Disorders|Cribra orbitalia right|0 (No cribra present)|
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20109|FEMALE|ADULT 26-35 YEARS|Trauma|Accidental|Healed fracture|The shaft of the left fibula is slightly thickened in the proximal third of the shaft.  There is a slight indentation and is slightly irregular medially.  The shaft is porous around the circumference of the shaft in this area. However, it is very well remodelled.  Possibly an oblique fracture.|
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20113|FEMALE?|ADULT >46 YEARS|Trauma|Accidental|Other (Trauma - Accidental)|DIFFERENCIAL DIAGNOSIS.  See 311.|
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20113|FEMALE?|ADULT >46 YEARS|Joints|Osteoarthritis|Osteoarthritis|The distal right humerus is very lipped around the capitulum and trochlea.  The capitulum is eburnated medially and the entire epiphysis is thickened.  The right radial head is enlarged and heavily lipped around the entire perimeter.  The radial-humeral head is eburnated and there are subchondral cysts on the surface.  The trochlear notch of the right ulna is greatly enlarged particularly on the anterior and lateral portions.  There is no eburnation or cysting.  Possibly trauma related?|
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20113|FEMALE?|ADULT >46 YEARS|Metabolic|Vitamin D Deficiency|Rickets|POSSIBLE CASE OF HEALED RICKETS.  THERE IS A LATERAL BEND TO THE ANTERIOR RIM OF THE RIGHT TIBIA WHICH IS ALSO VISIBLE ON THE DISTAL SHAFT. THE RIGHT FIBULA IS THICKENED AND PLATYNEMIC ON THE ANTERIOR MEDIAL RIM.  THE LEFT SIDE IS MISSING.|
Medieval-Guildhall Yard|GYE92|10|OA102|1050|1140|20113|FEMALE?|ADULT >46 YEARS|Other|Blood Disorders|Cribra orbitalia left|0 (No cribra present)|
